MH746253,A
MH746259,A
AY371145,A
GU201516,A
EU743963,A
AY371143,A
AY371165,A
KP718918,A
KP718921,A
KP718922,A
KP718928,A
AF286237,A
FJ388892,A
FJ388893,A
FJ388894,A
FJ388903,A
FJ388906,A
FJ388909,A
FJ388925,A
FJ388932,A
FJ388938,A
FJ388942,A
FJ388943,A
FJ388946,A
FJ388950,A
FJ388951,A
JF683737,A
JF683767,A
JF683779,A
JF683780,A
JF683783,A
AF286238,A
AM000053,A
AM000054,A
AM000055,A
AB231894,A
KR067668,A
KT152843,A
KT152844,A
KT152845,A
KT152846,A
EF589039,A
EF589040,A
EF589044,A
AF539405,A
AF004885,A
AF457063,A
AF457075,A
AF457052,A
AF457053,A
AF457055,A
AF457066,A
AF457069,A
AF457077,A
AF457079,A
AF457080,A
AF457081,A
AF457083,A
AF457084,A
AF457086,A
MH330347,A
MH330348,A
MH330349,A
MH330350,A
MH330351,A
MH330352,A
MH330353,A
MH330354,A
MH330355,A
MH330356,A
MG902950,A
MG902951,A
MH330337,A
MH330338,A
MH330339,A
MH330340,A
MH330341,A
MH330342,A
MH330343,A
MH330344,A
MH330345,A
MH330346,A
MK984159,A
AB253421,A
AB253422,A
AB287376,A
AB287377,A
AB287378,A
AB287379,A
AY713406,A
KP223729,A
KP223730,A
KP223731,A
KP223732,A
AY521630,A
AY521632,A
AY521633,A
AY521629,A
AY521631,A
MF373124,A
AF069671,A
AF069670,A
AF107771,A
AF069673,A
MF373150,A
MF373167,A
MF373168,A
MF373181,A
MF373182,A
AF361873,A
AY253305,A
AY253314,A
M62320,A
U51190,A
AB098332,A
AB098333,A
AB253428,A
AB253429,A
AY713407,A
AF484507,A
AF484508,A
AF484509,A
AF484512,A
AF484493,A
AF413987,A
DQ823356,A
DQ823360,A
DQ823365,A
DQ823366,A
DQ823367,A
AY829205,A
AY829206,A
AY829208,A
AY829209,A
AY829210,A
AY829212,A
AY037268,B
AY037282,B
AY037269,B
DQ383748,B
DQ383749,B
AF042100,B
AF042101,B
AF042102,B
AF042106,B
AF538305,B
AF538306,B
AF538307,B
AF042104,B
AF042105,B
AF538302,B
AF538303,B
DQ676877,B
AY818644,B
MW881652,B
MW881659,B
MW881660,B
MW881661,B
MW881665,B
MW881724,B
MW881725,B
MW881726,B
MW881741,B
MW881742,B
MW881743,B
MW881745,B
MW881746,B
MW881747,B
MW881748,B
MW881751,B
MW881752,B
MW881754,B
MW881755,B
MW881757,B
MW881758,B
MW881759,B
MW881760,B
MW881761,B
MW881762,B
MW881763,B
MW881764,B
MW881765,B
MW881766,B
MW881768,B
MW881769,B
MW881770,B
MZ041281,B
MZ041282,B
MZ041306,B
MZ041307,B
MZ041340,B
MZ041341,B
MZ041343,B
MZ041348,B
MZ041349,B
MZ041351,B
MZ041352,B
MZ041354,B
MZ041355,B
MZ041358,B
MZ041359,B
MZ041362,B
MZ041363,B
MZ041364,B
MZ041366,B
MZ041367,B
MZ041368,B
MZ041369,B
MZ041370,B
MZ041371,B
MZ041383,B
